,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2020-04-07 20:59:59,3.0312130816e-07,5.1096086831e-08,4.76879388459e-08,4.78857082706e-08
2020-04-07 21:14:59,3.10539085473e-07,6.39674973606e-08,6.01727180059e-08,6.03240126421e-08
2020-04-07 21:29:59,3.23257667186e-07,7.38515983562e-08,6.95983786474e-08,6.97238786426e-08
2020-04-07 21:44:59,3.21582026645e-07,8.4366601129e-08,7.93216567264e-08,7.94643266353e-08
2020-04-07 21:59:59,3.05041231477e-07,7.67720492613e-08,7.158546113e-08,7.17493244068e-08
2020-04-07 22:14:59,3.02900041682e-07,6.80998446892e-08,6.31119156656e-08,6.32851420953e-08
2020-04-07 22:29:59,3.03840505023e-07,7.06595481221e-08,6.63674055275e-08,6.65552430552e-08
2020-04-07 22:44:59,2.96822990702e-07,5.46454233196e-08,5.12201881498e-08,5.13864771716e-08
2020-04-07 22:59:59,2.99497689402e-07,2.78253458533e-08,2.55589521082e-08,2.59725724125e-08
2020-04-07 23:14:59,2.86640772443e-07,4.35425244863e-08,3.99970820064e-08,4.03605463525e-08
2020-04-07 23:29:59,2.59276911145e-07,6.86251046517e-08,6.46021438669e-08,6.47493926889e-08
2020-04-07 23:44:59,2.78131047093e-07,7.50944538931e-08,7.19746309284e-08,7.21049208456e-08
2020-04-07 23:59:59,2.91858211512e-07,6.27208207284e-08,5.93510438761e-08,5.94879227262e-08
2020-04-08 00:14:59,2.9094098386e-07,7.1873768251e-08,6.86902306911e-08,6.88122834526e-08
2020-04-08 00:29:59,2.8186152746e-07,7.37293057771e-08,6.96865914931e-08,6.98662913972e-08
2020-04-08 00:44:59,2.86854537042e-07,7.52539812415e-08,7.07120920919e-08,7.09443125911e-08
2020-04-08 00:59:59,2.93168126537e-07,7.78847043058e-08,7.34613719327e-08,7.36833230814e-08
2020-04-08 01:14:59,2.91234609041e-07,7.13094691126e-08,6.75343505788e-08,6.77148737443e-08
2020-04-08 01:29:59,2.80040161912e-07,7.74647017185e-08,7.32884500263e-08,7.34245151576e-08
2020-04-08 01:44:59,2.78700848691e-07,5.44470074571e-08,5.11147478778e-08,5.12640057042e-08
2020-04-08 01:59:59,2.71828591104e-07,2.91257406473e-08,2.665272871e-08,2.68465952301e-08
2020-04-08 02:14:59,2.63239030784e-07,4.15685738353e-08,3.89722588431e-08,3.91310861059e-08
2020-04-08 02:29:59,2.75847662548e-07,6.73175357706e-08,6.37736324792e-08,6.39179533584e-08
2020-04-08 02:44:59,2.75321120119e-07,8.00475006921e-08,7.6177140204e-08,7.63272816972e-08
2020-04-08 02:59:59,2.81424240073e-07,8.88815451393e-08,8.49707849543e-08,8.51252238902e-08
2020-04-08 03:14:59,2.64949579707e-07,8.67776372959e-08,8.27390339261e-08,8.29035661674e-08
2020-04-08 03:29:59,2.75870311952e-07,6.3959592358e-08,6.08201553083e-08,6.09704841554e-08
2020-04-08 03:44:59,2.70960273175e-07,4.97432984265e-08,4.73965199105e-08,4.75353023262e-08
2020-04-08 03:59:59,2.53460943195e-07,8.21056840353e-08,7.97713000496e-08,7.98748324998e-08
2020-04-08 04:14:59,2.6287465198e-07,9.43662312825e-08,9.24173013745e-08,9.25312081434e-08
2020-04-08 04:29:59,2.84704962639e-07,9.70322056611e-08,9.45458333506e-08,9.46864340128e-08
2020-04-08 04:44:59,2.74021958954e-07,7.29609114936e-08,6.92648316635e-08,6.93996778287e-08
2020-04-08 04:59:59,2.61124532684e-07,7.9766166377e-08,7.7320276368e-08,7.74952869935e-08
2020-04-08 05:14:59,2.45458941423e-07,6.83927855457e-08,6.6428923304e-08,6.66480954695e-08
2020-04-08 05:29:59,2.65942024714e-07,3.87245743729e-08,3.63453776682e-08,3.65639322989e-08
2020-04-08 05:44:59,2.89716563302e-07,4.06316378648e-08,3.85769303901e-08,3.87445607584e-08
2020-04-08 05:59:59,2.7771673917e-07,2.92255459214e-08,2.76528699185e-08,2.78550713247e-08
2020-04-08 06:14:59,2.71436455551e-07,2.28867398159e-08,2.15408547359e-08,2.17285097515e-08
2020-04-08 06:29:59,2.78484602421e-07,2.7007698294e-08,2.56852645552e-08,2.58588408856e-08
2020-04-08 06:44:59,2.68003361515e-07,3.85876173537e-08,3.7369583749e-08,3.74941188601e-08
2020-04-08 06:59:59,2.70710643849e-07,3.24545750745e-08,3.15192297767e-08,3.16659235941e-08
2020-04-08 07:14:59,2.7106684846e-07,1.42977919994e-08,1.32568853669e-08,1.36828190201e-08
2020-04-08 07:29:59,2.63476338538e-07,1.45344588022e-08,1.29645701526e-08,1.33389919678e-08
2020-04-08 07:44:59,2.62176860014e-07,1.57899437125e-08,1.25203905991e-08,1.27761599292e-08
2020-04-08 07:59:59,2.52680848808e-07,1.31637062619e-08,1.2371228223e-08,1.25696007877e-08
2020-04-08 08:14:59,2.43969448563e-07,1.14940293262e-08,1.08234349419e-08,1.10265207328e-08
2020-04-08 08:29:59,2.52291886291e-07,1.13316554093e-08,1.02872230424e-08,1.05219988353e-08
2020-04-08 08:44:59,2.611452765e-07,1.27789029997e-08,1.09604272397e-08,1.11885433993e-08
2020-04-08 08:59:59,2.61301217847e-07,1.12244681446e-08,9.81713037879e-09,1.00067037182e-08
2020-04-08 09:14:59,2.55875283681e-07,1.10598994125e-08,9.71530557848e-09,1.0030331066e-08
2020-04-08 09:29:59,2.49342414138e-07,8.88711067229e-09,7.82259229906e-09,8.17353057142e-09
2020-04-08 09:44:59,2.63049283924e-07,7.78855817737e-09,7.02423108997e-09,7.20072995395e-09
2020-04-08 09:59:59,2.65065592905e-07,8.02130001935e-09,7.23124261229e-09,7.3890458591e-09
2020-04-08 10:14:59,2.40633821741e-07,6.90787031234e-09,6.2522912398e-09,6.44001140693e-09
2020-04-08 10:29:59,2.44850618151e-07,6.2453685586e-09,5.6872739491e-09,5.86245968506e-09
2020-04-08 10:44:59,2.44725044539e-07,6.65414267006e-09,6.15126011332e-09,6.28812878343e-09
2020-04-08 10:59:59,2.50095618451e-07,6.57485398995e-09,5.94266965471e-09,6.0905487113e-09
2020-04-08 11:14:59,2.67936062552e-07,6.85217211863e-09,6.10423128844e-09,6.29640908737e-09
2020-04-08 11:29:59,2.62392714669e-07,6.16774267406e-09,5.54100025539e-09,5.84488004819e-09
2020-04-08 11:44:59,2.65417222307e-07,6.24873302681e-09,5.80148789621e-09,5.9218076262e-09
2020-04-08 11:59:59,2.71606805488e-07,5.48499420398e-09,4.98641465611e-09,5.11492284553e-09
2020-04-08 12:14:59,2.65361063476e-07,5.39767157983e-09,4.91525561419e-09,5.05000122283e-09
2020-04-08 12:29:59,2.5239180263e-07,5.26669581565e-09,4.70280061127e-09,4.84359715357e-09
2020-04-08 12:44:59,2.53744789373e-07,6.21988001377e-09,5.73464342012e-09,5.86216467918e-09
2020-04-08 12:59:59,2.54779447177e-07,4.91824288337e-09,4.40327213452e-09,4.53591578497e-09
